InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
7afa9244-864b-4a02-9c71-bf1aaae50d1a,Sally pizza night fridays.,family got two pizzas one cheese.,Sally did n't like cheese.,But pizzas had cheese them time.,Sally decided order own pizza.,Sally was very happy see cheese pizza.,1
5e0bf502-0e65-4d3d-bf92-ad19f8f5b5dd,School was just disaster today.,It was raining and everyone got soaked rain.,There was also fire and everyone had evacuate school.,I caught fever being rain several minutes.,I went swimming lake.,I 've never had worse day.,2
e7c6b024-bdc4-4231-a5fb-04398e400e5a,Felipe has always wanted see beautiful Pacific Northwest.,He decided travel Oregon one day.,"Oregon , Felipe hiked great mountains and ate delicious food.",He was sad when trip came end.,Felipe immediately started planning next trip.,Felipe swore he would never go back such lousy place.,1
c977abad-2d05-430b-b3fd-abd29d227ced,Ed challenged brother basketball game.,two guys played friendly match.,score was almost tied.,Then Ed made slam dunk.,Ed won game.,Ed lost game.,1
af7e712f-35ce-4332-a6d8-d530a254b64a,Lary was poor coal miner.,Lary would work long hours day mines.,Lary was mining one day and saw sparkle distance!,Lary had found vein gold ore!,Lary ignored it and kept working.,Lary was happy and excited.,2
5aaea84e-dc43-4fdb-826b-2d68ad19ea15,"Jim car was ten Year old , and started having problems.",He decided trade it in and buy new one.,He did lot research most economical cars buy.,He decided one that could also run battery.,Jim decided he would rather buy bike instead car.,Jim saved lot money gas buying battery run car.,2
9b3c381e-f61d-41ad-a815-fa82966818db,Nick took dog walk last Saturday.,"walk , dog saw several other dogs.","He was not well socialized , so he started barking them.",It was long and painful experience both them.,Sam was very amused dog behavior.,Nick decided take dog trainer.,2
7bd16612-de11-4c7c-87b1-ed79631d8f88,Earl is grandfather first time today!,daughter just had first baby and she had girl.,Earl has secretly been saving money new granddaughter.,He surprise daughter new savings account child.,Earl and daughter do n't like other.,"daughter now adds it , daughter college.",2
ed5d6365-1862-4e67-8118-41630999a060,building exploded.,Five people were it.,Three died and two lived.,Mosh rushed out little sister arms.,He was relieved be alive.,Everyone else got out safely.,1
3a717ae2-4c3c-4d81-a163-be9eede03fe5,girlfriend collects stamps.,Not kind mail but kind stamp things.,She has different cute ones.,birthday I want buy her more.,I bought her rare stamp online seller.,I bought sexy lingerie instead.,1
19611623-a65a-4990-8803-559fdf276c3a,"Jake opened fridge , looking food.","He found nothing , jelly.",He realized he could make PB&J sandwich.,"He got ingredients , and fixed himself sandwhich.",Jake satiated hunger.,Jake then threw sandwich away.,1
23cd662c-6477-48c0-b326-334e90202028,Elda had craving french fries.,She decided make them herself.,She sliced up potatoes and dropped them bubbling oil.,Then she pulled them out when they were golden brown.,Elda french fries were perfectly cooked.,Elda tossed fries trash can.,1
2f30738c-02be-4c4b-af03-6b6d6edd9a83,"One year , Matt was training half marathon.","time race , he slipped run and damaged knee.",Matt missed race and required extensive rehab.,"As soon he could , Matt was back training.",Matt trained hard return being pianist.,training paid off marathon later year.,2
49063f7b-4e56-4c7e-9fcb-c21e4ad2e83d,Susie loves grandma banana bread.,Susie called grandma and asked her send some.,Grandma lived very far away.,week passed and grandma surprised Susie coming visit.,Susie was so happy.,Susie was upset.,1
2e16fc90-126b-4d42-853d-adabc9329a04,Jon and Mika wanted baby daughter.,"years trying , they finally conceived baby girl.","Unfortunately , baby had complications.",Jon and Mika were scared baby would die.,Jon and Mika then gave birth boy.,baby grew up be healthy and strong.,2
f847c329-4af7-4481-b10e-2333e55658e4,Brendon used work mike.,One day Mike moved chair he was standing.,He went sit down and fell.,Mike could n't help but laugh site.,Brendon got angry he was serious pain.,Brendon could n't believe he was soaking wet.,1
e3d73dc6-32ce-43f3-a831-0e1eb32319a8,Cara was tired clutter which had piled up garage.,She decided plan garage sale.,She worked husband move everything out.,weekend Cara then set up signs advertise sale.,Cara sold lots items.,Cara left Vegas.,1
f356e390-62ba-4c5a-9f2b-b77d2b6b35a2,I remember scariest haunted house I 've ever been.,"It was old , rickety , uninhabited house that was made scares.",house was scary itself.,scariest part was end.,witch jumped out and gave me fright life.,They were having Christmas party exit.,1
9a26ef1d-19a5-4f8b-bd04-7674f598df91,Lorraine always wanted make biscuits way mother used.,She decides take month away work and only make biscuits.,Finally she has perfected biscuit recipe.,She brings mother biscuit and mother says it is delicious.,Lorraine is pleased.,Lorraine is disappointed.,1
e53e35d4-47c0-45db-824a-6263e375a5ec,Lucy loved writing poems.,One day Lucy mom was very upset.,Lucy hated seeing mom unhappy.,She decided write her poem.,Lucy mom hated poem.,poem made Lucy mom feel better.,2
c8a2430c-9e6f-4ffe-a72e-553d546fc32c,Joe was having family over Thanksgiving holiday.,He prepared big meal them.,He waited family arrive.,"They got stuck traffic , and were three hours late.",meal Joe prepared was cold.,meal Joe prepared was piping hot.,1
3ec93abb-d64a-45a9-bdc8-a8d366e1a999,Jake wanted make YouTube account.,He started vlogging.,They did not get much attention.,He then started doing skits.,Many people viewed Jake skirts.,Jake hope one would view skits.,1
fa228d73-45a9-4322-afb3-a94af13fb2c9,Jackie was driving work expressway.,There was truck horse cage.,"truck accelerated , cage open and horse came out.",It fell Jackie car window.,"window was busted , but horse survived.",Jackie was happy car was undamaged.,1
cc367050-841a-4b44-83a3-4a1fa8eb02c0,Kelly and friends decided go Indian lunch.,They were first ones restaurant.,It was buffet they got what they wanted.,girls loved food.,They vowed never return.,They returned many times.,2
8398d541-71aa-4f6b-a7d4-6a504e9d114a,Levi was very excited making candles mom.,He had went store her and helped her pick out scents.,Today was day make candles.,Levi helped poor wax molds.,They burned candles evening.,He poured majority it drain sink.,1
18d4dbc1-ed3c-40ca-8155-18884bb42732,I went buy new television last week.,finally picking one out I took it home.,I noticed it was broken as soon I got it box.,screen was cracked.,I was happy TV.,I returned TV.,2
0029bfd3-b3f3-42ec-ba8f-2ea9b26e19f8,Dennis entered surfing competition.,"He did poorly first , and he fell off lot.",Later he did much better competition winded down.,Then he got best wave life.,Dennis won competition.,Dennis did not have fun.,1
9f5c5186-d29d-4914-9be6-917ae7520f5e,"Ben garden was not very good , things grew , but not well.",Wilson showed Ben how make compost grass and leaves.,Ben started compost pile fall failed plants.,Ben added leaves compost pile and waited spring.,next year garden was beautiful and healthy.,spring he decided not start garden.,1
23f75488-ac93-4c34-8914-a7727508f8ef,Joe was really hungry.,There was nothing fridge eat.,He could n't find phone order carry out.,Joe ordered pizza online.,Joe paid delivery Chinese food.,Joe started eating pizza delivery man left.,2
94476c62-357f-4e71-9e16-8df92ae71d4e,Jason and friends were gathering watch movie.,Everyone brought something along eat.,Jason realized he had forgotten bring something.,He ran home and quickly made popcorn movie.,He came back popcorn.,He then threw popcorn trash.,1
c6cdbb7f-ff5f-4b0b-9c41-6818d712dbcb,Mary wanted make plans New Year Eve.,She decided have party apartment.,She invited friends.,friends brought food and drinks party.,It was best New Year Eve party ever.,"She accepted food , and asked them all leave.",1
c8a46f88-aa83-4380-b466-a83715b1924d,Jim went wetlands giant gun.,He set it up and waited geese fly by.,He shot flock.,Two hundred birds were hit.,Jim felt pleased.,Jim was frightened gunfire.,1
26db57c4-7415-465e-b1c3-732d6dc8b8ae,Janice usually wears jeans work day.,"However , now she has been promoted manager.",She decides she needs dress little more formally.,Janice buys few pairs khakis work.,She also bought plenty blouses.,She wore ripped shirt next day.,1
b7dcb1ce-bfe5-4e67-8ab7-e5b1df3c0b2c,Juanita woke up early canoe ride lake.,She loved peacefully rowing canoe anyone else was awake.,morning she was shocked see stork flying lake.,"she took picture , she lost balance and fell water.",Juanita climbed back boat.,Juanita continued take pictures.,1
ce62c6d1-55b5-47f2-bcbd-736598321ad5,Jody was very hard worker.,She always did best and often worked overtime.,Jody boss noticed efforts and decided give her promotion.,hard work had paid off!,Jody was fired spot.,Jody became manager and succeeded.,2
fb8557d0-f43a-4910-8e9e-6a42c3c6d0ff,Charlie would eat anything.,"He was small , even chihuahua , but he loved food.",crowning triumph was when he stole large pizza.,"Dismayed , family rushed him mean person they called Vet.",two then caused more problems.,Charlie changed bad habits.,2
68f6af39-ea81-44b7-aefc-edf5a198dc4a,sister law Sue was angry last week.,boss Cara accused her putting too many people shift.,Sue said she did not make schedule day question.,She pulled timesheets prove point.,boss apologized accusation.,Sara was fired.,1
5428c4c0-2339-4b9d-84ad-2115279a759a,Nora wanted go vacation.,She decided visit mountain cabin.,"cabin was beautiful , set woods , stream.",Nora loved picnic stream.,She spread out blanket and had lovely picnic.,She ate all meals cabin vacation.,1
cd779b2b-1964-44a3-a00c-f1f51633dcac,Marcy is deaf woman who lives alone.,She told friend hardest thing is communicating strangers.,friend told her take pen and paper she could communicate.,"Marcy began doing this , and found it much easier do things alone.",She thanked friend advice.,Marcy stopped talking friend.,1
da54dc4e-8a45-4804-8446-73c5222ab7e2,Fancy is name Sharon miniature schnauzer.,Fancy turned 14 Year old yesterday.,Schnauzers usually do n't live that long.,Sharon feels lucky have had Fancy she was puppy.,Sharon knew time Fancy was short.,Sharon could n't wait Fancy go.,1
5c864b3f-9700-41bf-bb22-bb0dd4a3b792,Keith lived area that had occasional earthquakes.,But he thought keeping first aid kit was unnecessary.,"next day , he cut hand cutting food.",And he had drive himself hospital.,Keith car then skidded road when earthquake struck.,Keith yacht hit reefs high speed.,1
4a7a6a06-fdf2-493b-b44c-55af33f92f74,Sean wanted go out picnic.,He packed himself lunch basket.,"Then , he rode bike off field.","field , he ate picnic.",Sean hated dining al fresco.,Sean loved outdoors.,2
5e3bd2fb-97f8-4457-8ac7-37cda8af8205,parents were delighted birth daughter.,They named her Joy.,"About two Year later they had second child , boy.","happy and grateful , they were somewhat less enthused.",son was difficult take care compared Joy.,parents had baby.,1
125f2ec2-b9df-4014-a5ac-08fc0e30908a,"Chris wanted pack gum , but he did n't have money.",He decided steal gum store.,"store owner caught Chris stealing gum , and he got trouble.",Chris felt terrible.,Chris begged mercy.,Chris was excited get caught.,1
9a5fdf10-dc3f-4f49-9b40-1a017f3a044b,Rene was arcade couple friends Friday night.,He was getting ready play game but realized he forgot wallet.,friend Jack noticed this and offered let him borrow money.,Rene appreciated offer and took him up it.,Rene told friend leave him alone.,Rene then played games.,2
4ea69358-703b-4256-8d35-b0db9a455ec2,Neil took flight Bangkok.,He walked around see sights.,There were so many delicious local foods!,"And souvenirs were wonderful , too!",Neil stayed extra days Bangkok all fun.,Neil decided he never wanted go Bangkok again.,1
93d64af4-f815-44d7-b4d7-2cb5aa2394b3,Amy wanted straighten curly hair.,She went store and purchased flat iron straightener.,She washed and then spent 2 hours straightening hair.,It rained and hair got wet.,Amy was devastated.,Amy was pleased.,1
3d4e2972-d59b-4077-a16e-0d810743682a,I love one Italian place girlfriend house.,We go there together all time and it 's always amazing.,I love pasta selection and prices are amazing!,We 've been going there so long staff knows what we get.,It 's so gross I warned friends never eat there.,We walk in and food is table right away.,2
221b2d03-83ca-494d-965c-e75e4d598b49,Mike is cop who got shot leg.,"He had never gotten shot before , it made him think life.",He did n't know he would go back work.,He saw crime news night.,Mike laughed hysterically.,And he decided it was calling fight crime.,2
49bdca9c-4f31-4864-98bb-6db6e6e8d9ce,Tracy never believed marriage.,Doug taught Tracy how feel love again.,Doug and Tracy made commitment other.,Doug broke wedding vows Tracy.,Tracy was happy Doug.,Tracy apprehensions marriage were confirmed.,2
c437d896-83d7-45b0-935d-25b20ecb8a5f,Joseph was library.,He wanted new book but had idea what get.,"so many choices , he felt overwhelmed.",He decided new method choosing book.,He closed eyes and picked one.,Joseph went downstairs and got ice cream.,1
27675b3b-ba98-4b7e-aca9-fa73a6822c8d,Neil loved Dublin!,He thought Irish capital was lively and friendly.,But favorite place was Trinity College.,He saw ancient Book Kells display there.,He enjoyed stay country.,Neil was bored trip and went home.,1
32377c55-fdef-4b49-804c-9ea5f964f67b,Ray loved spending day beach.,"He and girlfriend spent hours laying sand , getting sun.",Ray liked read book and listen music MP3 player.,girlfriend liked go water bit.,They both enjoyed day.,They did n't like beach anymore.,1
bb996fce-3cb3-4f2e-bf0e-f689ee6932f4,Last night I got woken up call.,friend had flat tired and was stuck middle road.,I had go out middle night help.,It was cold and annoying but I was able help put spare on.,friend was very grateful help.,Then I took tire off and left him stranded.,1
2e62070e-48c9-4aef-8a4c-f304065b9ad5,Grace came home work one summer day.,She opened freezer get ice cubes cold drink.,But then she found something awful.,power had cut out and all ice was melted!,Grace was very disappointed.,Grace was happy ice.,1
fa1e1318-d400-4dca-89da-cafd10680944,Harrison was playing game volleyball friends.,He hit ball net and scored point.,"However emily , opposing team also scored.","game was tied , Harrison scored winning point.",Harrison got angry Emily.,Harrison was happy and excited.,2
41f9c7bb-c8ff-4859-bfef-3552f065baa1,Sally entered contest online and won gift cards.,person charge prizes got address and mailed them out.,Sally got them mail few days later.,She went online and decided what she 'd like buy.,She found cool item and then happily bought it.,Sally could not buy anything money.,1
0ddb5cc9-a0a3-4d6e-8271-d6e9046164f8,Fred decides he would like start remembering daily life.,He goes local store and buys diary.,"day forward , Fred records everything he does diary.",Year later Fred references diary see how he spent time.,Fred did n't like diary.,Fred enjoyed reading stories past.,2
8941700e-80b8-457d-8057-5191d6e822ea,Sky went Turkey class.,She landed Istanbul and started sightseeing.,All students loved architecture.,And they thought food was great too!,Sky wanted leave as soon possible.,Sky never wanted trip end.,2
41006d52-82fa-4f6f-9589-caa9f2c5f3b1,Joss family was hosting exchange student.,Joss was afraid she and new girl would not get along.,"But when girl arrived , they liked other!",They soon were shopping and chatting together all time.,Joss told mom exchange student was mean.,Joss considered exchange student be sister.,2
57f8da4f-6a05-4645-aa53-8adb7afb0679,Joe and Mary invited friends over dinner.,The gathered kitchen and prepared pizza.,"pizza cooked , couples got board games.",The played games hours.,decided never do it again.,They all had fun.,2
2ef42f27-39bf-40d8-8636-108de3583103,I love play baseball but I hate watching baseball.,It 's fun play but honestly it 's so boring watch.,dad loves watch it and I sometimes sit him and watch.,We talk old days when we used play together outside.,I wish he would pass away already.,It 's nice relax and reminisce.,2
88d01e29-7b59-4eec-9070-0607c375b168,upstairs neighbors are always stomping around.,Even late night.,They 're almost always home.,I tried talking them it and they said they 'd be quieter.,"Less hour later , they 're stomping around again.","They were so quiet , I had call police.",1
2a20ef11-6bc5-4192-b59b-d6df5a78a2ba,Robbie wanted buy new hat.,He drove hour just get new hat he wanted.,Finally when he got there he got last one.,When he tried it it fit perfectly.,He wore it everyday.,He threw it trash.,1
732d31b0-0c2d-4ae0-a374-8592dc480df9,Neil knew what he had do visit Dublin.,He could n't leave city visiting many pubs!,Neil saw dozens pubs and had dozens pints.,"He got very tipsy , but he remembered one thing sure.",He remembered invest gold.,He did not drive influence.,2
222074bf-dded-4566-92c0-8dddf5272e37,Francisco is jealous all friends who go skiing winter.,He decides he wants ski too.,Francisco works instructor learn how ski.,He practices very hard.,Francisco became good surfer.,Francisco became good skier.,2
b4d4c62f-3043-4bd2-b51a-502a93477c41,Sai normally hated picture days school.,They were tedious and he never looked as nice other kids.,"try and help Sai feel better , mom bought him new sweater.",Sai wore sweater picture day and got lot compliments.,Sal felt rotten.,Sal felt great.,2
bb17a4af-4b29-4cc9-9d3d-ffba54fbde43,Alycia parked car street and headed town.,She joined friends and they had great night.,"It got late , and Alycia car seemed not be where she left it.","long , ten friends had joined car finding adventure.",friends found Alycia truck.,Surprise they found it street she parked it.,2
62283acf-2724-47df-a5f7-27229dc5acfc,mother used have pet goat.,She took very good care it.,"One day , she realized goat was missing.",She asked mother where it was.,Katie was disappointed when mother said back yard.,Katie was relieved when mother said back yard.,2
c171ddb2-af29-473a-acbb-a1262b464ada,oompah band and mariachi band met street.,They decided have impromptu jam session.,They soon discovered styles were incompatible.,Nearby residents called police complain noise.,police told them stop playing together.,police told them keep playing.,1
a5dbdbe4-d1b4-4cca-abc3-437cea2b8989,game was tied.,last point made would determine winner match.,Eric served tennis ball Bill.,"Bill almost missed ball , but he managed hit it.",Eric hit ball baseball bat.,Eric could n't return Bill hit and lost match.,2
ac3a7c0b-8ef1-4a7e-8f54-b24369873596,"It was end summer , and time back school shopping.",It was first year Gina mom let them come.,She took them Marshall home.,There were only few things price range.,Gina was very happy outfit she picked out.,Gina mother took out loan cover expenses.,1
d2110ec7-67be-418b-9e71-5fa884c13740,squirrel lived tree mom yard.,She began feed it peanuts.,"One day , she noticed there were now lots squirrels tree.",She started feed them peanuts.,She then scared away squirrels.,squirrels began come house more often.,2
fd1fec57-08d2-4274-91b0-6160b41f164f,niece got new bicycle Christmas.,She was afraid she would fall new bicycle.,I decided help niece learn ride.,I held bike she begins cycling.,I pushed bike over.,She soon learned ride.,2
656c23c4-7342-4073-a2b4-a6f5fe5e2087,Gina had detention.,It was first time.,She talked friends room pretending be cool.,stomach was turning knots.,Gina was natural rebel.,Gina was worried parents finding out.,2
b22e9193-17b6-4868-be18-d7736063a26f,Alicia liked where she lived.,"One day , parents told her they were moving.",She was very sad.,moving day she said goodbye friends.,Then they moved new house.,Alicia was happy be leaving old house.,1
77034191-c785-4040-8824-3c6435ef0bec,Brian was asked watch friends dog.,They left notebook keep log.,He would update it times he went there.,Right he came back he left message regarding time.,He was happy friends considered him trustworthy.,He had admit he did n't really like cat very much.,1
3b074fb8-11c0-4bb5-b6eb-3a1870fd0cda,Last night I marked baked chicken.,"When I put oven , I walked away.",dismay I smelled something burnt.,I looked oven and chicken was ruined.,I ordered pizza eat instead.,I loved new raincoat I bought.,1
800c65e1-0a7d-4058-a943-a2f22efa1251,Laura woke up early make it class time.,She made herself breakfast she left school.,"breakfast , Laura left house and got bus.","When she got school , she saw sign that said class cancelled!",Laura felt she had wasted time.,Laura had good day class day.,1
02200fbb-9771-46f3-809b-1c70cb0c41d7,Ray hung tire rope make daughter swing.,She climbed it and played happily.,"Then Ray heard loud , sickening crack , and loud crash.",branch holding swing had broken and daughter had fallen!,Ray laughed crazy situation.,Ray ran daughter make sure she was okay.,2
e6aa4d18-ca05-41c2-a28b-067c52d59be1,girls went bar.,They opened tab.,They had few drinks.,They finally decided close tab.,They went home talking night.,They got plane.,1
4e219458-ab81-43ad-8c03-a5e04313bb3f,Last week I had give big speech.,I never prepared and only new very basics.,I figured i would just go in and fake it.,I used big words and tried sound smart.,It worked and speech was received well.,I stopped talking and went home.,1
f23da5e1-e975-442d-a3e8-187854d73580,Miss Jio called Nate parents in conference.,She said Nate was disruptive and needed medication.,Nate parents went home and had long talk.,"They took Nate doctor , who told them medicine.",doctor suggested Jake attend counseling instead.,"He gave parents prescription , which they filled promptly.",1
39e4750c-7552-4768-8090-68e982acbae5,There Was amazing Italian place street Alice.,She used go there almost week.,She loves pastas that they serve there.,One day she tried go there and found out they closed down.,Alice was upset she had settle Chinese food.,She invited friends join her restaurant.,1
5166cfca-16ab-4e30-b944-115a9819ad1c,I ran noodles.,I got car and rushed store.,I purchased favorite brand noodles.,I hurried home.,I cooked noodles.,I threw noodles trash.,1
43d18abf-80a4-46c7-b81e-64389881989f,Pete had meet realtor.,He was soon buy house.,Pete could not find contract given him realtor.,He looked all home.,He finally found it garage.,Pete decided it would be great time take trip Vegas.,1
05f00a90-899f-4138-8452-352e2787ef9d,Fred loved amusement park but he never rode roller coaster.,friends teased him he was afraid heights.,One day amusement park he decided face fears.,Fred rode fastest and scariest roller coaster park!,He decided go home and cry.,He was so happy he did and loved park even more.,2
b760d9ca-110e-41da-bee3-7e21a59c10c3,Wendy bought bath oil online.,She misread directions and applied it all body.,"horror , skin had turned pink.",She complained company promptly.,Wendy happily bought more bath oil.,company gave Wendy full refund and apology.,2
84b1b98f-1e3b-460b-92a7-ef7b8f87e76a,Jackson had always avoided drinking anything alcoholic.,He knew alcohol was unhealthy and could impair judgement.,"However , one day Jackson boss invited him bar beer.",Jackson found he loved taste beer.,He decided have two.,E spit out beer.,1
48d93df4-f763-4964-b61c-c8a281b27257,frog was hungry late dinner.,He looked pond and spied fly.,frog swam up fly quietly.,"Unfortunately , fly saw him coming and buzzed away.",frog had never had such full stomach entire life.,frog was still hungry.,2
e7f2f98f-c44e-448a-985c-cf849cc079d5,Oscar never made bed.,mom always wanted him to.,Finally he decided start making bed.,mom was proud.,She gave him dessert treat.,She yelled him.,1
f403cad9-dd10-45b4-84c0-940adb678035,One day I was walking woods.,"several yards away , I saw red snake.",I froze immediately.,I began slowly walk backwards.,Then I ran snake.,snake bit me.,2
64e5fb40-f5a3-4020-81e4-f2c22875ff0d,Phil felt rush first time he won hand blackjack.,He started going casino multiple times week.,losses were piling up lot faster wins.,"less year , he was money completely.",He was ecstatic gambling wins.,He decided he needed do something addiction.,2
26663a1e-733a-436d-81fc-d2dc7de36f3b,cousin asked me there was point life that was tough.,I pulled out photo frame.,pictures showed moments where I was hospital.,I explained her fact I used be leukemia patient.,"She cried and hugged me , admiring bravery.","She stormed out , claiming I always changed topic.",1
899bb94a-66ec-4a36-a26d-131571aff33a,Matthew mother was busy working computer.,Matthew screamed.,Matthew stomped.,Matthew mother relented and abandoned work.,Matthew mother finished all work computer.,Matthew mother put Matthew time out corner.,2
dfcf593a-41ea-453d-9cc5-68323bd68577,Tine wanted make track team.,She hoped she was fast enough.,"month tryouts , she ran own.",She rose early morning run miles.,Tine made team best time anyone.,Tine sat couch and ate bonbons instead trying out.,1
c39a117f-2925-45d7-8bbb-41aeb4288587,I used hunt often.,"past time I went home , I hunted night.",I was quiet long time.,"Finally , I saw something moving dark.",I ignored it and went home.,It was deer that I was able stalk and shoot successfully.,2
43581cb2-1ab6-4999-bac4-ad9ad9afc9d4,Jack and Chad climbed Grand Canyon Wall.,"Jack paused take picture , leaning get good shot angle.",Jack accidentally sat cactus.,Needles were now stuck Jack pants.,It took 20 minutes remove needles and continue climbing.,Jack was able climb discomfort.,1
ebe0057c-473b-4a3b-8361-746a9fbbf39c,"Amy , Lynn and Kim walked store Lynn house.",there they saw Lynn crush Jim.,He was bag boy store.,They stopped and talked him awhile.,Jim asked Lynn date.,Lynn told Jim is unattractive.,1
4f062272-6c07-4f43-9e8b-ff12ba8dc264,Riley was not very popular school.,She wore funny clothes.,"One day , friend suggested they do makeovers.",Riley agreed make herself over.,Riley looked much better and was well received.,Riley stopped being friends.,1
7bc4817f-77d4-488f-82fe-b9ae098085b1,Ann is pregnant.,She was very excited knowing this she always wanted baby.,"couple months in , she had miscarriage.",She is deeply traumatized it.,Ann is heart broken.,Ann is relieved she is not pregnant.,1
401dd8df-ea68-43e6-b446-4320f891ee9d,Aya wanted be model.,She thought she had chance she was thin and pretty.,So she entered town annual modeling contest.,"shock , she won contest.",Aya was very happy outcome contest.,Aya was very upset outcome contest.,1
6a8bdf10-7442-4f8e-8f3c-073efed3b7a0,Jared was grounded week.,He never cleaned room.,parents told him he would get days off dusting.,He went around dusting entire house.,parents gave him three days off.,parents threw him house.,1
d26b71ef-6d65-4a35-a8b9-400cb8068d76,Anna was walking school one morning.,She entered crosswalk main road.,car suddenly flew it and struck her.,Anna was crushed and leg was broken.,Anna sued them but got nothing they had insurance.,Anna went club and danced night long.,1
595abbcc-f777-456f-86f7-7e7dccd2cdc5,Dave gathered up all beach gear.,He took day off just he could spend it beach.,When he went outside he discovered it was much dark.,sky was full black storm clouds.,Dave was so disappointed!,Dave was so relieved!,1
13cde7cf-2c08-435e-9bcb-5ec5caa5d71d,Ron and Kim wanted new house.,Ron decided work overtime work as much he could.,few Years he had saved all overtime pay and had lots cash.,"He and Kim started shopping new , bigger home.",They purchased nice home new neighborhood.,They purchased sportscars money.,1
f95c252d-06a5-4b36-9d97-fd49781cb41b,I wrote ebook that needed cover.,I made several book covers Photoshop.,I shared creations several people.,I asked people vote Cover A or CoverB.,I have computer.,Most people liked CoverA.,2
431d1f9b-b5af-4bc7-84bb-5ba8cc43fe93,We bought new cat post last week.,old one was very worn.,cat is very picky.,It post is not made sisal she will reject it.,cat accepted new post made sisal.,cat rejected new post made sisal.,1
d5f57be5-3ca5-416e-b525-8cc2193b600a,Daniel wanted establish himself writer.,Daniel made website where he could post article he wrote.,website slowly built and gained attention.,building and gaining was too slow Daniel succeed.,Daniel hated writing.,Daniel had get actual job.,2
3eb84632-b959-4a0a-aae3-f79c4a515cdb,Jeff had basketball hand.,Gary was waving hands air he was open shot.,Jeff ignored him and ran hoop.,Two guards were approaching him.,guards stole ball Jeff.,Gary thanked me thoughtfulness.,1
dc91bd65-f0ca-4cbe-9e1f-73da6aefd7e5,Daddy took us woods camp.,He taught us how build fire sticks.,He helped us learn how make own tents.,We fell asleep counting stars sky.,We will never camp again.,We had wonderful time camping.,2
9bfb6178-81b2-4ea4-8571-3fc395b35de4,"end week , I went local market.","several items were sale , I 've looked them.",Some were vegetables and juice containers 50 % discount.,I took several items and went checkout.,I liked getting good deal.,I decided throw bowling ball counter.,1
cd7faa5b-6895-4a34-a737-0b2efd11d8ae,Joey worked great company but hours were cut.,company said they had let her go and laid her off.,Joey began looking job right away.,She had hard time finding work but gave job searching all.,Joey finally received call employer and got job.,Joey spent days playing video games.,1
03e1ec4c-f6e5-45bf-8ced-3d335a1d01fc,Joe lived lonely life.,He never had anything do but watch tv.,One day he decided meet people craigslist.,He was able make new friends.,"Joe ordered new cable channels , but was still unhappy.",He was much happier now he companions life.,2
d2c65c75-7b83-427e-8d29-76c3ce036b0e,Amy was very stressed out all time.,friend suggested she try meditation.,"Amy was skeptical , but she agreed give it shot.",She went class and breathed and focused.,She started teaching meditation next day.,It helped mental state immensely.,2
edd7b992-5e79-4359-8f60-99051b557b38,Nya tried eat healthy and watch weight.,But one night she was craving comfort food.,She decided order fried chicken and mashed potatoes.,"She ate greasy , fatty food relish.",Nya decided eat same thing everyday.,Nya later regret eating unhealthy food.,2
1bb9dd9a-3abd-4368-9243-dde533686572,roommate was sick.,She stayed home work and school.,She slept day long.,"end day , she was feeling better.",She decided rest has helped.,She hoped she would soon be sick again.,1
0d7b20c2-000f-4049-9d07-9a0187a1d46f,Ted and friends went park climb mountain.,They started hike.,"two hours , they got tired and took break.",They finished hike and were top.,Ted got car and drove home.,view was great and Ted was happy they had come.,2
027408de-1e4b-43c6-805f-6e3ecce5aa65,"It is usually calm and warm morning , Florida.","Yesterday morning it was very windy , though.",palm tree fronds were blowing so hard they scraped windows.,I turned on TV and tornado warning came on!,tornado came 2 blocks house!,So I went outside play.,1
ce715a40-f9c1-436f-87fd-8f582337b5a3,I 've been art kick lately.,I received drawing instruction book Christmas.,book has shopping list necessary drawing supplies.,I went store other day and bought what I needed.,I decided I did n't like drawing.,I went home and practiced drawing.,2
e173545d-f2fa-4f12-b117-58b2def77753,Lisa began realize she did not enjoy studying business.,She wanted study art but was worried making money.,"Finally , one day she had courage drop school.",friends and family told her it was crazy leave school.,Lisa still felt confident choice would make her happy.,Lisa got degree business.,1
edd718b9-d7fd-4109-9645-501281ad3335,Mary wanted go late movie.,Unfortunately she had school and strict parents.,She waited everyone fell asleep and sneaked out.,She saw movie friends and had great time.,When parents caught her she was grounded.,Mary friends were very disappointed her.,1
a7e0d548-30b7-4d6b-b94b-746718b06b10,Ivy had been asked unconventional date.,crush Peter had asked her go hiking!,Ivy agreed.,They went woods and hiked hours.,Afterwards they watched sunset cliff.,"Ivy returned home , and never spoke Peter again.",1
9da06a52-ae28-4a98-b5c8-aa143b89dffd,man went design tallest tower world.,He drew plans make it twice as high current tallest.,He took plans developer build.,developer asked him how tall build tower.,Man was not building designer.,man built tower and it was grand.,2
ac55ff95-89fb-452d-9a58-8894d2cd4954,Lauren and sisters are visiting Jacksonville Florida week.,last day trip they want picture together.,Lauren and sisters pose front cute cafe.,She has picture developed and sends sister copy.,She gawked how much her and sister look alike.,She tore picture up and threw it away.,1
