InputStoryid,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
e4a9b75f-b93b-4008-8a61-1910c1cbb333,"Finally, he was able to purchase the game.","Sadly, he was late for the football game.","Sadly, the new video game was disappointing.",2
4491c70f-158c-4c4b-b5ed-87b3812711f3,The stunt man was ejected from his seat.,The stunt man was paralyzed.,The stunt man loved it.,1
b666186a-9b57-42d0-adb8-96ccab629c82,He flirted too much with other girls.,Ralph then asked Pamela to marry her.,Pamela decided to break up with Ralph.,2
76e63073-9411-4974-b799-5d2d97b66955,She  passed all the tests!,Helen looked forward to her first mission.,Helen dreaded seeing outerspace.,1
d2f91b44-c9d8-4739-916c-b6a555db3fb2,Then I had to get everything organized.,Then I slept the longest I ever have in my whole life.,I packed all my stuff up again.,1
9f211d53-a8ce-4dbb-9962-d0a7a431775c,Hailey was told they were never going back.,Hailey was excited to see them all again tomorrow.,Hailey cried to think that she would not see her friends.,2
7afb9047-0f6b-42cc-9787-34aacba9d03b,They remind him of his grandma and what she meant to him.,He hates his grandmother.,It is a fond memory.,2
94e8ad21-f64e-4883-b78a-e7e4edf9deb7,The other boys were fine but Jake fell and broke his leg!,"Jake waited for his leg to heal, before he tried skiing again.",Jake tried skiing again the following day.,1
a7055395-54de-49ed-83dd-c185ea15d576,"Soon, she decided to practice speaking German with a German friend.",Valerie wanted to visit Germany.,Valerie hopes to live in Italy someday.,1
3e4b2ed5-eab3-489d-a6be-3ad106988fa8,They shopped the rest of the day.,Clara was tired by the time she got home.,Clara felt very lonely.,1
e45e2974-a14f-4f8b-b681-ca7cb37cd2ee,He went to the local store and purchased a waterproof phone case.,Tim's phone became ruined when he spilled water on it.,Tim didn't have to worry about dropping it in water anymore.,2
2f5c65fb-843e-4997-8140-13f5f38c9137,Gina normally didn't like Burger King's fries.,Gina walked down the highway without her family.,Gina was so hungry that the fries tasted good this time.,2
f3c5e059-72e7-412b-9248-80396c4e240a,I asked who it was and why they were calling.,She said she was my long lost mother.,I said goodbye to the man on the phone.,1
2ad06102-faf3-4d63-8256-be03d543ce2c,As soon as it was time for her break she dashed outside.,Nelly hated the outdoors.,The fresh air was exactly what Nelly needed to clear her head.,2
2db35e99-36cf-4fbd-876d-d26fe8b649c9,Alec's daughter made words with them rather than structures.,Alec and his wife decided to go to the movies.,Alec was happy to see his daughter developing her verbal ability.,2
7c8964d9-c397-485d-86dc-6b95fb3be64a,I was caught by the police.,The police officer gave me a badge and made me a deputy.,It was terrible to be sentenced to life in prison.,2
2e2b0ba2-cc01-48ca-983d-50109116c862,They gave him their entire record collection from their youth.,He felt cool and retro when he played records at a party.,He broke the records one by one as his parents watched.,1
2406943f-8a63-496d-8585-8ec3abac0f49,It took 20 minutes to clean the blender.,Amy was determined to gain weight.,Amy was determined to lose weight.,2
0affefb8-3cfd-40fd-b5e5-cddfb5d30428,She immediately left the auditioning room.,Tina held back her tears.,Tina joined the high school dancing team.,1
b6c98944-3cb1-4d9d-877d-bb5d463526a5,A nice man noticed what happened and offered to pay.,Sally was grateful for his kindness.,Sally cried the rest of her break.,1
0e959d20-1b35-4853-9e5b-6e5e6a015d32,When she received the check there was no raise.,Amy was very upset.,Amy was relieved she didn't get any extra money.,1
80191f19-91bb-40f6-be0d-17f33e002c19,She didn't feel ready to try out for the band.,Jennifer worked hard on her lessons and got into the band.,Jennifer had not taken any cello lessons.,1
b088959d-79f1-44e7-9fd1-b69dd14acb87,Fred got drunk and passed out on the sand.,Fred rolled over and fell off the bed.,Fred woke up with a hangover.,2
6d412966-5675-41f1-bd11-65f3a2fa5797,He kept going to work anyway.,Ronnie's boss commended him on his dedication.,Ronnie quit as soon as he got in.,1
1a83c1eb-7041-4040-8982-7cb0b63c9c20,Burke decides to try smiling.,Burke soon reverts back to being grumpy.,Burke loves interference from strangers.,1
79afda6c-31b6-4201-ad86-233ab808ef8d,Matt was horrified and stopped to check on her.,Matt always paid more attention to the road after that.,"Matt fiddled with the car radio, looking for a better station.",1
953792ed-bd0a-4c95-bc6c-7965187afd82,When he finished his act he got a standing ovation.,Brian was very creative and brave.,Brian was not very creative.,1
8552c047-b700-4b7b-95b9-f149cf26cffb,I went home and gathered the new items.,I loved decorating for holidays.,I hated decorating.,1
96b18874-5395-4a80-bd52-ff65d1cdc55f,I was so happy when my boss offered me the new position!,I feel I deserve it.,I feel I don't deserve it.,1
d9570c16-b996-4a39-abea-f19e224b4d2a,Then she pressed flower blossoms into the centers of her bars.,Tia then made pretty labels to put on each bar.,Tia used the soap bars to wash her dirty dogs.,1
04a3004e-2468-463a-9481-8435917491cb,There they found some key evidence.,The police found the perpetrator and locked her up.,The police put on a community event to raise money.,1
844bc94f-b9dd-4c80-874e-b56c300fcca7,Pat aces his test.,Pat is happy.,Pat is sad.,1
9b730785-f70a-4f7a-bcde-4d770dd93750,"Unfortunately, she burnt the chicken and overcooked the rice.",Marsha was elated!,Marsha was devastated.,2
96736ca6-46ef-4ed0-8a12-3364ae3b27da,Solomon suspected that his being hired was related to his unique name.,Solomon asked the interviewer for an old-fashioned.,Solomon thought his name might not be so bad after all.,2
fed543f8-a766-4304-a8ea-d84b18bfadb0,She searched everywhere for it.,"Try as she might, Kelley couldn't find her dog.",She was relieved to find it underneath her car seat.,2
34e043b3-9511-4589-8d32-3c91f92e0365,He loved his gift from me on Christmas morning.,He used the tickets to take me to see Star Wars with him.,"With a look of disgust, he threw the tickets in the trash.",1
9e9c90c8-f951-4f4d-a4a1-9c0885008086,"A week later, the restaurant got sued by the customer.",The customer was uplifted by the special service.,The customer was angry.,2
5266d0a9-9676-4b0f-9947-5f0b9d2f5227,However her car was destroyed.,Stacey got back in her car and drove to work.,Stacey told the police what happened.,2
5a68e437-26e9-4c2c-8390-e09787adf317,"Karen was accepted but Diane was not, which was hard for both of them.",Diane decided she hated Karen more than ever before.,"It was hard, but they agreed to go their separate ways.",2
7dd60447-f348-46d6-a9c8-a8c0e1929ebb,My husband buried her in the backyard.,We miss her so much.,"Later, we gave her a bowl of milk.",1
04e5efa9-1c6c-4316-9aa3-be095b55f14d,The goat was trying to get more food from her but she ignored it.,"Eventually, the goat became angry and bit Reilly.",Reilly fed the goat extra food.,1
b92f303b-57b3-409d-a126-e8b2ed6dae8f,Her husband is now in a hospice.,Sally ended up being my best friend.,Sally wanted to inform the family of her husband's condition.,2
0f16f911-002b-42e5-a03b-0f0d481a7abd,When Laura got it done she loved it.,Laura wore a hat all week to hide her hair.,The compliments she got made Laura think the trip was worth it.,2
d198e207-13f8-45bf-a627-7f3418b98968,It was so beautiful and busy!,Neil thought the country was wonderful.,Neil hated his trip.,1
caae8e0c-2dd1-40f5-9444-5a41c6ec5093,The man leapt as high as he could while running.,The man jumped over the gate.,The man went under the gate.,1
471915a5-c895-42c2-9541-b2aa27f5a419,I watched the whole movie.,I thought the movie was great!,I left after the first forty five minutes.,1
9750212e-a0a3-404b-835d-035aa7f7ad30,Once there I bought the pair I thought was best.,I was ashamed of what I had done.,I loved my new socks.,2
4e92b613-219a-4068-a04d-3789c266ab3d,"Sadly, he takes them into a pawn shop for sale.",He gets much less for them than they are worth.,Grayson uses the money from selling his stamps to buy a guitar.,1
7077f2e6-ad0a-4c7e-b21e-cd28243d886a,Lance took a bullet for Adam.,Adam was never able to repay Lance.,Lance never spoke to Adam again.,1
d96069af-cdd7-42d9-a4f2-1837b3b42d88,"Afterwards, he started to operate on my teeth.",I left the dentist's office with a signed petition.,I was nervous but he reassured me that everything was fine.,2
39d062a5-c89c-462f-a0df-876cba16daf3,It was way too loud and upset his parents.,"Pretty soon, Tim's parents hated the sound of the trumpet.",They set up a space in the garage for him to practice.,2
3541e6f4-8e10-473e-b8d0-2854f882e5e8,The only problem was that it was very expensive.,"So I would indulge every once in awhile, and it was delicious!",I always ate there when I wanted to save money!,1
66358d57-c3fc-4fff-9252-d206e779169d,He fractured his arm in three places.,Kenny then played basketball.,Kenny had to be taken to the hospital.,2
e84ac360-f94e-447e-a8b3-04d905e67763,Mag relaxed and watched movies all night.,May was very relaxed.,May had a very stressful night.,1
cb6da984-9fc8-467a-b366-4d19e2889158,She realized she had forgotten to put sugar in it.,Her in-laws thought the cranberry sauce was much too sweet.,The cranberry sauce was very sour.,2
2f0b9829-8c65-4cdc-a6c7-e4c5d31b517e,We also made some Christmas gifts.,I did not have a good holiday season.,I had a great time with my kids while home from college.,2
f2d8aa08-96e5-4ac7-b8b6-d7198d74e738,"A few weeks later, Michael saw another squirrel in the dumpster.",Michael hoped the new squirrel would fare better than the first.,Michael decided to have the dumpster company pick up his trash.,1
a320d13e-5936-4b94-b152-81c7f2880d12,Rob opened the gift in disbelief and drew a smile.,Rob was happy.,Rob was disappointed.,1
82491e68-a823-425d-9496-d26a1e8be976,She even past a few and actually placed second in her event.,Jennifer was proud of herself for swimming so well.,Jennifer realized swimming was not her best hobby.,1
1d7c1148-bf98-4578-ac1c-148f12c3595e,One of his friends was sneakily cheating!,Ace called out his friend for cheating.,Ace was happy for his friend.,1
cd2c799f-ffe8-4a32-aea4-09bb5cee816e,Eventually it was his wife's birthday.,He decided to go golfing all day.,So he gave her cash.,2
8c3ce139-e4f2-41c0-af7c-4b65ecb5c0a1,They arrested him for failure to appear.,He went to jail.,The judge convicted him of murder.,1
0b2e246e-9290-465e-ad33-77af5e681528,"He loved it so much, he built a large tree house and moved in.",He tore it apart.,He loved it.,2
7b39edb9-5cf8-4dde-b39f-400e11a4d2c2,The reviews and articles were published in national magazines.,His parents relented.,Ted was an orphan.,1
9daed93f-ad77-412a-b044-4a8dfe44043a,Forty minutes into the intense workout Tammy passed out.,Tammy learned a valuable lesson.,Tammy kept working out.,1
54804420-28ad-4197-ba66-c1f301f8e4a5,Sometimes she even takes her dog Dexter.,And so Abigail was able to lose a lot of weight.,Abigail climbed off her wheelchair and onto the bed.,1
d06963fb-440b-4c26-9a32-2bdaf1bfe246,It freaked him out and he's seeking mental help.,Eddie needed medication.,Eddie loved his new friend.,1
36911b38-b7c2-44c1-81c9-6fd7e5baa8b0,The rear bumper had been destroyed and was on the ground.,Jay was livid.,Jay had a good laugh.,1
5b361aeb-8082-4fc8-94ab-aa3e4af4e83e,A small spark caused the house to explode.,They then got home to their neatly cleaned home.,"When they returned, they saw that their house was gone.",2
88340408-893a-4b3b-8401-c4f4935d2d70,Carmen went to the store to purchase the ingredients.,Carmen's family loved the crust.,Carmen decided to order Domino's instead.,1
20769e19-7dc2-4cf7-a889-f2e869400ea1,"When he's finally finished, he feels relieved.",His fingernails are much shorter.,His fingernails are way too long.,1
f558675a-1600-4c49-b0f8-8bb238e57d17,Herman came up with two dollars and walked to the store.,Herman decided he wasn't hungry anymore.,Herman managed to buy some food to make a small meal.,2
cd2880c6-3e1c-41c5-854d-3b73e2a0ebe2,It was six and her flight left a half hour ago.,Kelly boarded the plane.,Kelly had to schedule another flight.,2
39a60eeb-95a3-481b-9e32-a9838d212c4e,They always made sure the picked the best peaches.,Grandma had to pick the peaches herself.,They were excited to bring the peaches to grandma.,2
5ccfaaba-fd87-4439-a947-a31fb8d943dd,She searches for an assortment of different taco recipes.,Candice stuck to her original taco recipe.,Candice got better at making tacos.,2
a447849b-07ec-40fc-a2d1-90a4ea497ffc,"When He got out, he couldn't find a job.",Tony was hired immediately and succeeded.,Tony then went back to school and found a different major.,2
67a75c6a-e95f-4b50-879e-8fe0b3a6278f,"Jenny's mom ran out of money, so they went to a food bank.",Jenny was thrilled with her new living situation.,Jenny was unhappy.,2
267b00f2-70b5-47ae-9fb8-26f990752396,"Growing in confidence, he met  his goals every week.",He finally got down to his ideal weight.,After a month he gave up.,1
03ab91cf-7c16-412f-8f41-781e96f9f1e7,Her dad noticed and came running out and pulled her out of the water.,The little girl was saved by her dad.,The dad was then pulled out by the girl.,1
d06e3657-9028-4d55-adf2-ad63bdbcf407,We really got along.,The woman told me to leave her alone.,I got her phone number.,2
db50ca49-9ca7-4cdd-ab92-c9c627781747,But she was too scared to.,Cindy asked her mother to drive her.,Cindy was very experienced.,1
ae34fa14-8288-44d9-a1e8-b56ce11408aa,I sold it as a coffeeeee table or bathroom reader.,I made a little bit of money.,I was ashamed of what I had done.,1
27434ef9-0520-4aa2-836b-c0c800bdc981,To his surprise the camera was worth $5000!,He quickly bought the camera.,He quickly bought the film.,1
78b13b6b-f8da-46f8-8eb7-a4c875bae08b,Rover weaved through traffic with amazing skill.,He fetched the ball and brought it back to his owner.,He then ran away with the small ball.,1
2d4cb4d7-46f3-4cdf-989b-4f2c27f674b5,It was within a few feet of the cars.,My mom jumped into the swimming pool.,My mom slammed on the brakes just in time.,2
fbd3cadc-ed50-4384-91f2-cd769e228235,"After a week, nobody had claimed the money.",Kelly was fired for being dishonest.,Kelly used the money treat all her friends to ice cream.,2
d15127c8-80be-43a4-b6ae-bbb624f26be3,He tried to use it on his job applications.,It helped him get a job in an office.,It helped him get a job in construction.,1
35c15ec3-cf7b-4626-9c88-94ba6787eea1,Then she decided to honor her wisdom and Years.,She wore her gray hair with pride.,She dyed her hair blonde instead.,1
f0fdfa37-a5cd-4afc-b01e-59ec46e2e249,"She was so freaked out, she turned around and left.",She was freaked out the whole way home.,"She decided to give it a chance, and returned to the party.",1
64b62db2-d6cd-4353-8834-1448d885e73b,Unfortunately it no longer passed my state's inspection.,I got my car registered and drove it around all day.,I had to sell the car in another state.,2
886c5f73-22f4-4f15-8954-95a544c2bd04,When Trent took his turn to drive he fell asleep.,Trent drove off road and totaled the car.,The group got to Las Vegas with no issues.,1
2b5675aa-b214-47df-a125-82e0579f939e,He decided to get his fishing license.,Brandon then became a regular fisherman.,Brandon then became a surfer.,1
2685ba6d-8b1c-462c-af50-ae5381d64172,The ring was even more gorgeous up close!,Randy bought the ring.,Randy ran away screaming.,1
79ec2783-bf9c-4c84-985e-541ad687ef30,To my surprise I actually had a good time!,I went to the tennis match alone and had a beer.,The performers were really talented and the music was beautiful.,2
90c53b34-57a6-41e1-b5a1-29d50387212b,"On payday, she saw that she had made overtime pay on that Saturday.",Shay was upset that her company had mistreated her.,Shay was happy that she went into the office.,2
f26605e6-c3c2-4ea4-9a24-5c237bd92938,We had to put her down as she was in pain.,The whole family mourned Cinnamon.,The whole family was glad Cinnamon left.,1
14126bab-64ca-4467-aa1b-0e80352cb136,"My instructors told me I wasn't ready yet, and I was so hurt by it.",I was very happy.,I kept trying and eventually I excelled.,2
624d9d5a-87f7-483e-8987-feca8924c212,Mary and Harry got engaged eventually.,Harry loved Mary.,Harry disliked Mary.,1
764c6282-20a9-4f0f-9d1e-540409d0e102,She was horrified when the teacher made them run the first day.,Gina felt amazing that she ran.,Gina cried at the end.,2
29b08f00-d2bc-47b6-966e-6da1036f069a,It started to rainy.,I couldn't mow the lawn.,The lawn mower suddenly started.,1
92858b36-2816-4872-a937-0001cb7240fd,Susan drove in the rain to the very next rest stop and went in.,Susan used the facilities to relieve herself and then rested.,Susan drove back to the last stop to talk to the strange man.,1
3e4078a2-9651-4fbf-82eb-043136dcfadd,My grandfather slammed on the brakes.,The fox then lept behind our dirt bike.,We stopped in time to see the fox run across the road.,2
b1cc4611-443a-4f6b-8409-79fc5d2011c8,Ashley broke her leg and can not be in the water.,Ashley told Brad to go without her.,Ashley spent her summer riding her bike instead.,1
8bfd17e8-b08f-4a99-afc4-7efe411853cd,The truck bounced hard when he hit the pothole.,Sam was happy that he disabled his mail truck.,Sam's head hit the steering wheel.,2
ed4c0e4e-ef66-49bb-b0e8-5f38bd3ba569,John confesses he was trying to make her like him more.,John was happy about being rejected.,"The girl found this charming, and gave him a second chance.",2
e40b2aad-3873-4b37-9d90-a264abfc7e74,Aurelia was amazed with how delicious her homemade ice cream was.,She began brainstorming a new ice cream recipe.,She threw her ice cream in the garbage.,1
e0a9d5b2-15cb-4f12-93b8-90953167efc0,She later became a lawyer.,Miriam did not enjoy arguing.,Miriam became a very successful lawyer.,2
01b2a2ad-be1e-4b0e-9bbf-e14342ca97f6,She wanted to see their hall pass.,The girls started dancing.,The girls have her their passes.,2
a97be601-1dfc-4302-a72b-0978ffff81fd,"When the bus arrived, we all boarded and continued our way.",The field trip went very well as we had hoped.,"The bus never arrived, and we missed our field trip.",1
d4452d09-c194-4796-aaf6-cd48d7e5120b,Eventually I just left and decided to get random ones.,My family only ate vegetables.,My family was too demanding.,2
e0e7182d-d02d-4259-9fa5-9986f7d865ea,She hurriedly dressed and arrived to work 5 minutes late.,Alice was a mess during her presentation.,Alice helped herself to some coffee and sat down to relax.,1
217c5791-7a72-45d0-b3e8-1b4f20734f3a,Her mother poked her and made her give it back.,Gina's mom liked her behavior.,Gina got in trouble.,2
667536f9-e681-42ae-bba5-afe8b0af70fe,She had to take batting practice for several weeks,Amber slowly developed into a pretty good hitter.,That extra practice improved Amber's fielding skills.,1
bcf843de-e50c-4380-b7d9-ff504a0f1d6e,Their grandma was partially paralyzed from a stroke.,Gina missed her grandfather very much.,Gina was had a great time at her grandmother's house.,1
10dff8fb-1f57-4261-8f75-4abf667e5f93,I made two mugs of hot chocolate and woke up my husband.,I hated Christmas.,It was a great morning.,2
c55aad1c-4eb1-4c9c-a27a-5fbba9196f47,"He improved his shooting, dribbling, passing, and defense.",Jim made the basketball team the next time.,Jim quit playing basketball.,1
287a0ff3-5017-4f34-8e69-a14053bba585,She saved all her money in a savings account.,"Gradually, Mary was able to pay off her debt.",Mary saw no change in her financial situation.,1
2cb343e8-1946-44bc-9550-17bdf23d7edc,John was worried his teacher would think he was lying.,John turned his homework in the next day.,John didn't know what to do.,2
f541394c-6ab4-44e3-aa74-74830387f1a8,"Tommy wasn't sure how to split the profits, so Billy helped.",They shared the money equally.,Tommy decided to take all of the money.,1
53256d2e-3e79-41ca-9f59-52bc217496f1,Soon her stomach hurt.,Tori fell ill because of eating too much candy.,Tori felt even better afterwards.,1
7dbd977b-94b8-41da-888b-aee254d4f327,In the big city she could be anyone and do anything she wanted.,"Once there, she got her dream job.",She decided to go back home.,1
c5c1c868-cae5-4826-aae4-a8fb7eeca5a4,Then John got up and had breakfast and felt better.,John had a nice day off of work.,John then felt sick the rest of the day.,1
7afa9244-864b-4a02-9c71-bf1aaae50d1a,But both pizzas had cheese on them this time.,Sally decided to order her own pizza.,Sally was very happy to see cheese pizza.,1
5e0bf502-0e65-4d3d-bf92-ad19f8f5b5dd,I caught a fever from being in the rain for several minutes.,I went swimming in the lake.,I've never had a worse day.,2
e7c6b024-bdc4-4231-a5fb-04398e400e5a,He was sad when his trip came to an end.,Felipe immediately started planning the next trip.,Felipe swore he would never go back to such a lousy place.,1
c977abad-2d05-430b-b3fd-abd29d227ced,Then Ed made a slam dunk.,Ed won the game.,Ed lost the game.,1
af7e712f-35ce-4332-a6d8-d530a254b64a,Lary had found a vein of gold ore!,Lary ignored it and kept working.,Lary was happy and excited.,2
5aaea84e-dc43-4fdb-826b-2d68ad19ea15,He decided on one that could also run on a battery.,Jim decided that he would rather buy a bike instead of a car.,Jim saved a lot of money in gas by buying a battery run car.,2
9b3c381e-f61d-41ad-a815-fa82966818db,It was a long and painful experience for both of them.,Sam was very amused by his dog's behavior.,Nick decided to take his dog to a trainer.,2
7bd16612-de11-4c7c-87b1-ed79631d8f88,He surprise his daughter with a new savings account for her child.,Earl and his daughter don't like each other.,"His daughter now adds to it, for her daughter's college.",2
ed5d6365-1862-4e67-8118-41630999a060,Mosh rushed out with his little sister in his arms.,He was relieved to be alive.,Everyone else got out safely.,1
3a717ae2-4c3c-4d81-a163-be9eede03fe5,For her birthday I want to buy her more.,I bought her a rare stamp from an online seller.,I bought her sexy lingerie instead.,1
19611623-a65a-4990-8803-559fdf276c3a,"He got the ingredients, and fixed himself a sandwhich.",Jake satiated his hunger.,Jake then threw the sandwich away.,1
23cd662c-6477-48c0-b326-334e90202028,Then she pulled them out when they were golden brown.,Elda's french fries were perfectly cooked.,Elda tossed the fries into the trash can.,1
2f30738c-02be-4c4b-af03-6b6d6edd9a83,"As soon as he could, Matt was back to training.",Matt trained hard to return to being a pianist.,His training paid off at a marathon later that year.,2
49063f7b-4e56-4c7e-9fcb-c21e4ad2e83d,A week passed and grandma surprised Susie by coming to visit.,Susie was so happy.,Susie was upset.,1
2e16fc90-126b-4d42-853d-adabc9329a04,Jon and Mika were scared that the baby would die.,Jon and Mika then gave birth to a boy.,The baby grew up to be healthy and strong.,2
f847c329-4af7-4481-b10e-2333e55658e4,Mike couldn't help but laugh at the site.,Brendon got angry because he was in serious pain.,Brendon couldn't believe he was soaking wet.,1
e3d73dc6-32ce-43f3-a831-0e1eb32319a8,That weekend Cara then set up signs to advertise her sale.,Cara sold lots of items.,Cara left for Vegas.,1
f356e390-62ba-4c5a-9f2b-b77d2b6b35a2,The scariest part was at the end.,A witch jumped out and gave me the fright of my life.,They were having a Christmas party at the exit.,1
9a26ef1d-19a5-4f8b-bd04-7674f598df91,She brings her mother a biscuit and her mother says it is delicious.,Lorraine is pleased.,Lorraine is disappointed.,1
e53e35d4-47c0-45db-824a-6263e375a5ec,She decided to write her a poem.,Lucy's mom hated the poem.,The poem made Lucy's mom feel better.,2
c8a2430c-9e6f-4ffe-a72e-553d546fc32c,"They got stuck in traffic, and were three hours late.",The meal Joe prepared was cold.,The meal Joe prepared was piping hot.,1
3ec93abb-d64a-45a9-bdc8-a8d366e1a999,He then started doing skits.,Many people viewed Jake's skirts.,Jake hope no one would view his skits.,1
fa228d73-45a9-4322-afb3-a94af13fb2c9,It fell on Jackie's car window.,"The window was busted, but the horse survived.",Jackie was happy her car was undamaged.,1
cc367050-841a-4b44-83a3-4a1fa8eb02c0,The girls loved the food.,They vowed never to return.,They returned many times.,2
8398d541-71aa-4f6b-a7d4-6a504e9d114a,Levi helped poor the wax into the molds.,They burned their candles that evening.,He poured the majority of it down the drain of the sink.,1
18d4dbc1-ed3c-40ca-8155-18884bb42732,The screen was cracked.,I was happy with the TV.,I returned the TV.,2
0029bfd3-b3f3-42ec-ba8f-2ea9b26e19f8,Then he got the best wave of his life.,Dennis won the competition.,Dennis did not have fun.,1
9f5c5186-d29d-4914-9be6-917ae7520f5e,Ben added leaves to his compost pile and waited until spring.,The next year his garden was beautiful and healthy.,In the spring he decided not to start a garden.,1
23f75488-ac93-4c34-8914-a7727508f8ef,Joe ordered a pizza online.,Joe paid for the delivery of some Chinese food.,Joe started eating the pizza before the delivery man left.,2
94476c62-357f-4e71-9e16-8df92ae71d4e,He ran home and quickly made popcorn for the movie.,He came back with the popcorn.,He then threw the popcorn in the trash.,1
c6cdbb7f-ff5f-4b0b-9c41-6818d712dbcb,Her friends brought food and drinks to the party.,It was the best New Year's Eve party ever.,"She accepted the food, and asked them all to leave.",1
c8a46f88-aa83-4380-b466-a83715b1924d,Two-hundred birds were hit.,Jim felt pleased.,Jim was frightened by his gunfire.,1
26db57c4-7415-465e-b1c3-732d6dc8b8ae,Janice buys a few pairs of khakis for work.,She also bought plenty of blouses.,She wore a ripped shirt the next day.,1
b7dcb1ce-bfe5-4e67-8ab7-e5b1df3c0b2c,"As she took a picture, she lost her balance and fell into the water.",Juanita climbed back into the boat.,Juanita continued to take pictures.,1
ce62c6d1-55b5-47f2-bcbd-736598321ad5,Her hard work had paid off!,Jody was fired on the spot.,Jody became a manager and succeeded.,2
fb8557d0-f43a-4910-8e9e-6a42c3c6d0ff,"Dismayed, his family rushed him a mean person they called Vet.",The two then caused more problems.,Charlie changed his bad habits.,2
68f6af39-ea81-44b7-aefc-edf5a198dc4a,She pulled the timesheets to prove her point.,Her boss apologized for the accusation.,Sara was fired.,1
5428c4c0-2339-4b9d-84ad-2115279a759a,Nora loved to picnic by the stream.,She spread out a blanket and had a lovely picnic.,She ate all her meals in the cabin while on vacation.,1
cd779b2b-1964-44a3-a00c-f1f51633dcac,"Marcy began doing this, and found it much easier to do things alone.",She thanked her friend for the advice.,Marcy stopped talking to her friend.,1
da54dc4e-8a45-4804-8446-73c5222ab7e2,Sharon feels lucky to have had Fancy since she was a puppy.,Sharon knew her time with Fancy was short.,Sharon couldn't wait for Fancy to go.,1
5c864b3f-9700-41bf-bb22-bb0dd4a3b792,And he had to drive himself to a hospital.,Keith's car then skidded off the road when an earthquake struck.,Keith's yacht hit the reefs at high speed.,1
4a7a6a06-fdf2-493b-b44c-55af33f92f74,"In the field, he ate his picnic.",Sean hated dining al fresco.,Sean loved the outdoors.,2
5e3bd2fb-97f8-4457-8ac7-37cda8af8205,"While happy and grateful, they were somewhat less enthused.",Their son was difficult to take care of compared to Joy.,The parents had another baby.,1
125f2ec2-b9df-4014-a5ac-08fc0e30908a,Chris felt terrible.,Chris begged for mercy.,Chris was excited to get caught.,1
9a5fdf10-dc3f-4f49-9b40-1a017f3a044b,Rene appreciated his offer and took him up on it.,Rene told his friend to leave him alone.,Rene then played games.,2
4ea69358-703b-4256-8d35-b0db9a455ec2,"And the souvenirs were wonderful, too!",Neil stayed some extra days in Bangkok because of all the fun.,Neil decided he never wanted to go to Bangkok again.,1
93d64af4-f815-44d7-b4d7-2cb5aa2394b3,It rained and her hair got wet.,Amy was devastated.,Amy was pleased.,1
3d4e2972-d59b-4077-a16e-0d810743682a,We've been going there for so long that the staff knows what we get.,It's so gross that I warned my friends to never eat there.,We walk in and the food is on the table right away.,2
221b2d03-83ca-494d-965c-e75e4d598b49,He saw the crime on the news that night.,Mike laughed hysterically.,And he decided that it was his calling to fight crime.,2
49bdca9c-4f31-4864-98bb-6db6e6e8d9ce,Doug broke his wedding vows to Tracy.,Tracy was happy with Doug.,Tracy's apprehensions about marriage were confirmed.,2
c437d896-83d7-45b0-935d-25b20ecb8a5f,He decided on a new method of choosing a book.,He closed his eyes and picked one.,Joseph went downstairs and got an ice cream.,1
27675b3b-ba98-4b7e-aca9-fa73a6822c8d,He saw the ancient Book of Kells on display there.,He enjoyed his stay in the country.,Neil was bored of the trip and went home.,1
32377c55-fdef-4b49-804c-9ea5f964f67b,His girlfriend liked to go in the water for a bit.,They both enjoyed their day.,They didn't like the beach anymore.,1
bb996fce-3cb3-4f2e-bf0e-f689ee6932f4,It was cold and annoying but I was able to help put the spare on.,The friend was very grateful for the help.,Then I took the tire off and left him stranded.,1
2e62070e-48c9-4aef-8a4c-f304065b9ad5,The power had cut out and all the ice was melted!,Grace was very disappointed.,Grace was happy about the ice.,1
fa1e1318-d400-4dca-89da-cafd10680944,"The game was tied, until Harrison scored the winning point.",Harrison got angry with Emily.,Harrison was happy and excited.,2
41f9c7bb-c8ff-4859-bfef-3552f065baa1,She went online and decided what she'd like to buy.,She found a cool item and then happily bought it.,Sally could not buy anything without any money.,1
0ddb5cc9-a0a3-4d6e-8271-d6e9046164f8,Year's later Fred references the diary to see how he spent his time.,Fred didn't like his diary.,Fred enjoyed reading stories from his past.,2
8941700e-80b8-457d-8057-5191d6e822ea,And they thought the food was great too!,Sky wanted to leave as soon as possible.,Sky never wanted her trip to end.,2
41006d52-82fa-4f6f-9589-caa9f2c5f3b1,They soon were shopping and chatting together all the time.,Joss told her mom that the exchange student was mean.,Joss considered the exchange student to be like a sister.,2
57f8da4f-6a05-4645-aa53-8adb7afb0679,The played games for hours.,The all decided to never do it again.,They all had fun.,2
2ef42f27-39bf-40d8-8636-108de3583103,We talk about the old days when we used to play together outside.,I wish he would pass away already.,It's nice to relax and reminisce.,2
88d01e29-7b59-4eec-9070-0607c375b168,I tried talking to them about it and they said they'd be quieter.,"Less than an hour later, they're stomping around again.","They were so quiet, I had to call the police.",1
2a20ef11-6bc5-4192-b59b-d6df5a78a2ba,When he tried it on it fit perfectly.,He wore it everyday.,He threw it in the trash.,1
732d31b0-0c2d-4ae0-a374-8592dc480df9,"He got very tipsy, but he remembered one thing for sure.",He remembered to invest in gold.,He did not drive under the influence.,2
